2025-05-25 03:03:41.508 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.6 | Humidity: 51 | Sex: Female | Image File: 20250525_024830_2A0D4602.jpeg
2025-05-25 03:40:29.375 | RFID: 2A0D4602 | Weight: 0kg | Temp: 23 | Humidity: 47.8 | Sex: Female | Image File: No_Image_Captured
2025-05-25 08:40:39.960 | RFID: 2A0D4602 | Weight: 0kg | Temp: 21.6 | Humidity: 56.8 | Sex: Female | Image File: No_Image_Captured
2025-05-25 08:41:16.419 | RFID: 2A0D4602 | Weight: 0kg | Temp: 21.6 | Humidity: 56.6 | Sex: Female | Image File: No_Image_Captured
2025-05-25 08:48:18.458 | RFID: 2A0D4602 | Weight: 0kg | Temp: 21.6 | Humidity: 56.6 | Sex: Female | Image File: 20250525_024736_2A0D4602.jpeg
2025-05-25 08:48:43.945 | RFID: 2A0D4602 | Weight: 0kg | Temp: 21.6 | Humidity: 56.6 | Sex: Female | Image File: 20250525_024818_2A0D4602.jpeg
2025-05-25 19:40:08.965 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.5 | Humidity: 65.2 | Sex: Female | Image File: 20250525_192618_2A0D4602.jpeg
2025-05-25 19:41:15.303 | RFID: 2A0D4602 | Weight: 2.378kg | Temp: 22.5 | Humidity: 65.2 | Sex: Female | Image File: 20250525_192621_2A0D4602.jpeg
2025-05-25 19:41:46.913 | RFID: 2A0D4602 | Weight: 3.454kg | Temp: 22.5 | Humidity: 65.2 | Sex: Female | Image File: 20250525_192655_2A0D4602.jpeg
2025-05-25 19:42:10.492 | RFID: 2A0D4602 | Weight: 0.728kg | Temp: 22.5 | Humidity: 65.2 | Sex: Female | Image File: 20250525_192719_2A0D4602.jpeg
