,precision,recall,f1-score,support
0,0.9836065573770492,0.9766022380467956,0.9800918836140888,983.0
1,0.9900475984422328,0.9930555555555556,0.9915492957746479,2304.0
accuracy,0.988135077578339,0.988135077578339,0.988135077578339,0.988135077578339
macro avg,0.986827077909641,0.9848288968011756,0.9858205896943684,3287.0
weighted avg,0.9881213607278807,0.988135077578339,0.9881228777175047,3287.0
