,precision,recall,f1-score,support
0,0.9833659491193738,0.9691417550626809,0.9762020398251579,1037.0
1,0.9858719646799117,0.9924444444444445,0.9891472868217054,2250.0
accuracy,0.985092789777913,0.985092789777913,0.985092789777913,0.985092789777913
macro avg,0.9846189568996427,0.9807930997535627,0.9826746633234316,3287.0
weighted avg,0.9850813537470617,0.985092789777913,0.9850632524026547,3287.0
