,precision,recall,f1-score,support
0,0.9787664307381193,0.970912738214644,0.9748237663645518,997.0
1,0.9873803307223673,0.990829694323144,0.9891020052310375,2290.0
accuracy,0.9847885609978704,0.9847885609978704,0.9847885609978704,0.9847885609978704
macro avg,0.9830733807302433,0.980871216268894,0.9819628857977947,3287.0
weighted avg,0.9847675962276015,0.9847885609978704,0.9847711855931045,3287.0
