,precision,recall,f1-score,support
0,0.9915966386554622,0.9564336372847011,0.9736977823620423,987.0
1,0.9815766923736076,0.996520226185298,0.9889920138139434,2299.0
accuracy,0.984479610468655,0.984479610468655,0.984479610468655,0.984479610468655
macro avg,0.9865866655145349,0.9764769317349995,0.9813448980879929,3286.0
weighted avg,0.98458633539862,0.984479610468655,0.9843981591447327,3286.0
