,precision,recall,f1-score,support
0,0.9853403141361257,0.9457286432160804,0.9651282051282051,995.0
1,0.9768439108061749,0.993891797556719,0.9852941176470589,2292.0
accuracy,0.9793124429571037,0.9793124429571037,0.9793124429571037,0.9793124429571037
macro avg,0.9810921124711502,0.9698102203863996,0.975211161387632,3287.0
weighted avg,0.9794158369738966,0.9793124429571037,0.9791897419378226,3287.0
