raw_reading,true_weight_grams
1128,2000.00
437494,2000.00
437614,2000.00
437635,2000.00
437611,2000.00
437595,2000.00
435094,2000.00
429538,2000.00
440102,2000.00
498955,2000.00
594382,2000.00
625604,2000.00
638113,2000.00
647881,2000.00
594817,2000.00
606398,2000.00
684705,2000.00
769597,2000.00
741576,2000.00
549310,2000.00
449596,2000.00
447003,2000.00
619660,2000.00
819877,2000.00
838891,2000.00
914902,2000.00
859787,2000.00
670090,2000.00
678278,2000.00
724468,2000.00
735087,2000.00
705634,2000.00
694656,2000.00
706053,2000.00
716640,2000.00
712571,2000.00
702650,2000.00
703226,2000.00
711306,2000.00
711862,2000.00
703431,2000.00
705966,2000.00
711094,2000.00
706374,2000.00
703386,2000.00
705913,2000.00
707801,2000.00
707924,2000.00
704433,2000.00
704333,2000.00
707157,2000.00
706756,2000.00
705059,2000.00
705994,2000.00
706388,2000.00
705203,2000.00
704707,2000.00
705294,2000.00
705737,2000.00
705127,2000.00
704642,2000.00
705011,2000.00
705014,2000.00
704530,2000.00
704222,2000.00
704719,2000.00
704101,2000.00
704075,2000.00
704547,2000.00
704817,2000.00
703522,2000.00
703625,2000.00
704373,2000.00
704509,2000.00
704081,2000.00
703651,2000.00
704272,2000.00
704303,2000.00
703757,2000.00
703850,2000.00
704080,2000.00
703601,2000.00
703506,2000.00
703777,2000.00
703899,2000.00
703566,2000.00
703466,2000.00
703654,2000.00
703642,2000.00
703267,2000.00
703348,2000.00
703554,2000.00
703325,2000.00
703253,2000.00
703407,2000.00
703323,2000.00
703046,2000.00
703011,2000.00
703201,2000.00
703201,2000.00
702938,2000.00
703012,2000.00
703171,2000.00
703127,2000.00
703063,2000.00
702831,2000.00
702719,2000.00
702823,2000.00
702893,2000.00
702842,2000.00
702804,2000.00
702770,2000.00
702608,2000.00
702670,2000.00
702623,2000.00
702764,2000.00
702651,2000.00
702604,2000.00
702479,2000.00
702668,2000.00
702738,2000.00
702660,2000.00
702466,2000.00
702398,2000.00
702358,2000.00
702431,2000.00
702267,2000.00
702380,2000.00
702262,2000.00
702432,2000.00
702200,2000.00
702469,2000.00
702294,2000.00
702130,2000.00
701987,2000.00
702160,2000.00
702282,2000.00
702342,2000.00
702367,2000.00
702224,2000.00
702093,2000.00
702175,2000.00
702064,2000.00
701992,2000.00
701772,2000.00
702022,2000.00
702203,2000.00
6817,2000.00
701781,2000.00
701588,2000.00
701491,2000.00
701697,2000.00
7190,2000.00
701316,2000.00
701399,2000.00
701468,2000.00
701365,2000.00
701315,2000.00
701204,2000.00
701204,2000.00
701358,2000.00
701347,2000.00
698139,2000.00
7103,2000.00
701166,2000.00
701012,2000.00
700898,2000.00
700941,2000.00
700997,2000.00
700959,2000.00
700955,2000.00
700842,2000.00
700851,2000.00
700910,2000.00
700880,2000.00
700784,2000.00
700791,2000.00
700812,2000.00
700752,2000.00
700732,2000.00
700771,2000.00
700663,2000.00
700653,2000.00
700655,2000.00
700832,2000.00
700705,2000.00
700622,2000.00
700743,2000.00
700841,2000.00
700592,2000.00
700613,2000.00
700687,2000.00
700440,2000.00
700562,2000.00
700544,2000.00
700461,2000.00
700496,2000.00
700439,2000.00
700638,2000.00
700447,2000.00
