raw_reading,true_weight_grams
489253,1000.00
531067,1000.00
543127,1000.00
513715,1000.00
516450,1000.00
535183,1000.00
523857,1000.00
527996,1000.00
525798,1000.00
521672,1000.00
525256,1000.00
524614,1000.00
524389,1000.00
524927,1000.00
523200,1000.00
525285,1000.00
525821,1000.00
523412,1000.00
524512,1000.00
525198,1000.00
524146,1000.00
524833,1000.00
524652,1000.00
524080,1000.00
524620,1000.00
524862,1000.00
524088,1000.00
524418,1000.00
524882,1000.00
524242,1000.00
524167,1000.00
524700,1000.00
524503,1000.00
524662,1000.00
524523,1000.00
524133,1000.00
524441,1000.00
524395,1000.00
524256,1000.00
524430,1000.00
524408,1000.00
524490,1000.00
524236,1000.00
524684,1000.00
524530,1000.00
524451,1000.00
524424,1000.00
524366,1000.00
524562,1000.00
524527,1000.00
524307,1000.00
524491,1000.00
524580,1000.00
524447,1000.00
524504,1000.00
524614,1000.00
524510,1000.00
524507,1000.00
524659,1000.00
524504,1000.00
524400,1000.00
524352,1000.00
524369,1000.00
524391,1000.00
524420,1000.00
524434,1000.00
524497,1000.00
524491,1000.00
524355,1000.00
524506,1000.00
524573,1000.00
524322,1000.00
524398,1000.00
524238,1000.00
524163,1000.00
524098,1000.00
524050,1000.00
524378,1000.00
523915,1000.00
524482,1000.00
524363,1000.00
524094,1000.00
524745,1000.00
524396,1000.00
524543,1000.00
524285,1000.00
524618,1000.00
524532,1000.00
524539,1000.00
524367,1000.00
524411,1000.00
524606,1000.00
524273,1000.00
524406,1000.00
524512,1000.00
524487,1000.00
524488,1000.00
524517,1000.00
524281,1000.00
524301,1000.00
524477,1000.00
524499,1000.00
524653,1000.00
524653,1000.00
524554,1000.00
524558,1000.00
524730,1000.00
524698,1000.00
524626,1000.00
524569,1000.00
524683,1000.00
524830,1000.00
524743,1000.00
524489,1000.00
524641,1000.00
524675,1000.00
524621,1000.00
524559,1000.00
524592,1000.00
524580,1000.00
524762,1000.00
524676,1000.00
524865,1000.00
524787,1000.00
524678,1000.00
524527,1000.00
524624,1000.00
524553,1000.00
524572,1000.00
524568,1000.00
524643,1000.00
524701,1000.00
524663,1000.00
524786,1000.00
524659,1000.00
524530,1000.00
524508,1000.00
524472,1000.00
524477,1000.00
524462,1000.00
524530,1000.00
524443,1000.00
524494,1000.00
524594,1000.00
524499,1000.00
524438,1000.00
524367,1000.00
524479,1000.00
524390,1000.00
524492,1000.00
524441,1000.00
524463,1000.00
524422,1000.00
524339,1000.00
524430,1000.00
524443,1000.00
524404,1000.00
524315,1000.00
524299,1000.00
524511,1000.00
524480,1000.00
524442,1000.00
524192,1000.00
524344,1000.00
524277,1000.00
1048487,1000.00
7720,1000.00
524275,1000.00
523986,1000.00
524461,1000.00
523953,1000.00
523979,1000.00
524229,1000.00
523978,1000.00
524079,1000.00
524158,1000.00
524242,1000.00
524054,1000.00
524178,1000.00
524093,1000.00
524394,1000.00
524147,1000.00
524057,1000.00
524214,1000.00
524085,1000.00
524288,1000.00
524289,1000.00
524271,1000.00
524138,1000.00
524076,1000.00
524259,1000.00
524021,1000.00
524110,1000.00
524198,1000.00
524336,1000.00
524141,1000.00
524134,1000.00
524020,1000.00
524084,1000.00
524148,1000.00
